	Epic	Year	Reporting date	Tangible assets	Intangible asssets and goodwill	Investments and other non-current assets	Total non-current assets	Inventory / Work in progress	Trade and other receivables	Cash and Equivalents	Other current assets and asset held for resale	Total of all ASSETS	Short term liabilities	Long term liabilities	Other liabilites / pension etc	Total of all LIABILITIES		Net assets	Share Capital	Minority Interests	Retained earnings	Share premium account	Other Equity	Total EQUITY	Cash from operating activities	Cashflow before financing	Increase / Decrease in Cash	Turnover	Cost of sales	Gross Profit	Operating Profit	Pre-Tax profit	Profit / Loss for the year
3	RMV	2014	31 Dec 2014	2	2	5	8	0	24	11	0	43	41	0	0	41		2	1	0	1	0	0	2	108	109	4	167	0	0	122	122	96
4	RMV	2013	31 Dec 2013	2	2	6	9	0	23	7	0	39	29	0	0	30		9	1	0	7	0	0	9	83	82	-0	140	0	0	97	97	74
0	RNK	2017	30 Jun 2017	188	412	7	606	3	25	79	0	713	186	137	0	323		391	54	0	189	98	49	391	99	56	19	707	391	316	85	80	63
1	RNK	2016	30 Jun 2016	202	404	8	614	3	36	61	0	715	174	188	0	362		353	54	0	153	98	47	353	78	37	-30	709	392	317	92	86	75
2	RNK	2015	30 Jun 2015	203	396	8	607	3	29	90	2	731	309	127	0	436		294	54	0	99	98	42	294	137	104	42	701	377	324	86	75	75
3	RNK	2014	30 Jun 2014	218	390	6	613	3	31	47	7	701	168	291	0	459		242	54	0	43	98	47	242	28	-15	-15	679	380	299	26	14	20
4	RNK	2013	30 Jun 2013	232	393	6	630	3	31	65	9	739	194	303	0	497		242	54	0	40	98	50	242	85	-129	-8	596	330	267	52	43	27
0	ROR	2017	31 Dec 2017	82	309	21	413	92	146	63	25	739	162	120	0	281		457	4	0	409	11	32	457	106	93	4	642	358	284	86	81	56
1	ROR	2016	31 Dec 2016	84	360	25	470	86	132	61	27	775	188	153	0	341		434	4	0	393	10	26	434	119	60	9	590	328	262	94	91	67
2	ROR	2015	31 Dec 2015	72	341	16	429	87	119	49	18	701	156	137	0	293		408	4	0	397	10	-4	408	104	-47	4	546	297	250	104	102	75
3	ROR	2014	31 Dec 2014	64	222	18	304	81	128	47	16	577	137	62	0	200		377	4	0	359	9	4	377	105	3	-27	595	309	285	142	141	103
4	ROR	2013	31 Dec 2013	46	159	14	219	75	106	69	16	485	109	44	0	153		332	4	0	312	9	7	332	110	56	10	578	304	274	139	138	100
0	RPC	2017	31 Mar 2017	1266	1953	159	3378	480	626	258	10	4752	1085	1845	0	2929		1823	21	0	222	681	899	1823	277	-836	86	2747	0	0	192	155	132
1	RPC	2016	31 Mar 2016	895	990	100	1984	275	400	130	2	2791	740	1157	0	1897		894	15	0	158	644	77	894	151	-473	35	1642	0	0	95	76	55
2	RPC	2015	31 Mar 2015	629	565	85	1279	191	295	47	4	1817	462	774	0	1236		581	13	0	131	416	22	581	93	-448	41	1222	0	0	83	67	41
3	RPC	2014	31 Mar 2014	418	180	35	633	146	191	3	38	1012	350	390	0	740		272	8	0	144	93	26	272	105	-74	-24	1047	0	0	73	59	28
4	RPC	2013	31 Mar 2013	395	102	39	536	149	179	24	5	893	310	311	0	621		272	8	0	144	92	27	272	86	14	-7	1051	0	0	54	40	26
0	RR.	2017	31 Dec 2017	4624	7063	3720	15407	3660	7919	2953	63	30002	10925	12907	0	23832		6170	368	3	4881	195	723	6170	1810	301	231	16307	13134	3173	2085	4897	4208
1	RR.	2016	31 Dec 2016	4114	5080	3486	12680	3086	6956	2771	45	25538	9534	14140	0	23674		1864	367	2	445	181	869	1864	1411	48	-691	14955	11907	3048	44	-4636	-4032
2	RR.	2015	31 Dec 2015	3490	4645	2073	10208	2637	6244	3176	59	22324	8173	9135	0	17308		5016	367	2	4457	180	10	5016	1094	99	320	13725	10459	3266	1501	160	84
3	RR.	2014	31 Dec 2014	3446	4804	2786	11036	2768	5509	2862	49	22224	7685	8152	0	15837		6387	376	5	5671	179	156	6387	1301	-665	-1133	13736	10533	3203	1398	67	58
4	RR.	2013	31 Dec 2013	3392	4987	1866	10245	3319	5092	3990	417	23063	9780	6980	0	16760		6303	376	698	4804	80	345	6303	2040	1300	1436	15513	12197	3316	1535	1759	1379
0	RRS	2017	31 Dec 2017	1577	0	1705	3283	117	184	720	0	4303	200	111	0	311		3992	0	286	0	0	3706	3992	548	322	204	1307	0	0	478	481	335
1	RRS	2016	31 Dec 2016	1561	0	1613	3174	119	231	516	0	4041	188	101	0	289		3752	0	253	0	0	3499	3752	521	364	303	1224	0	0	404	403	294
2	RRS	2015	31 Dec 2015	1547	0	1647	3194	131	198	213	1	3737	159	86	0	245		3492	0	219	0	0	3274	3492	397	179	131	1094	0	0	265	261	213
3	RRS	2014	31 Dec 2014	1495	0	1643	3137	126	185	83	1	3533	142	89	0	230		3303	0	205	0	0	3098	3303	318	96	45	1168	0	0	357	353	271
4	RRS	2013	31 Dec 2013	1458	0	1513	2970	180	186	38	2	3377	238	81	0	319		3058	0	179	0	0	2879	3058	464	-264	-336	1144	0	0	355	402	326
0	RSA	2017	31 Dec 2017	104	763	14216	15083	0	2923	1048	1546	20600	0	0	16498	16498		4102	0	152	0	0	3950	4102	365	787	-27	7105	0	0	480	448	322
1	RSA	2016	31 Dec 2016	109	728	14922	15759	0	2823	985	1572	21139	0	0	17292	17292		3847	0	132	0	0	3715	3847	-35	320	93	6857	0	0	473	101	20
2	RSA	2015	31 Dec 2015	109	616	14163	14888	0	2653	816	2254	20611	0	0	15586	15586		5025	0	129	0	0	4896	5025	453	0	55	6825	0	0	523	323	244
